Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue J Blanchot;89;P>25646;4;1,123;;;15/03/2013;08:58
Verre Couleur;;2691;ST QUENTIN;SAINT QUENTIN;;Dans l'Hopital rue fayet (platef dechets;190;P>29649;3;0,869;;;18/03/2013;10:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Angle J Blanchot / L lemaire face crèche;195;P>33899;3;0,454;;;18/03/2013;07:57
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Av Faidherbe;27;P>25725;3;0,605;;;18/03/2013;09:30
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd Gambetta (face CIO);12;P>25719;3;0,728;;;18/03/2013;10:24
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place de la Liberté;8;P>25716;3;0,453;;;18/03/2013;09:58
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place du GI Floy;1;P>25711;3;0,522;;;18/03/2013;09:39
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25722;3;0,455;;;18/03/2013;08:31
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Cannonniers;142;P>25729;3;0,52;;;18/03/2013;09:35
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Suzannes;14;P>25720;3;0,455;;;18/03/2013;08:15
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue du Petit Origny (place du marché);4;P>25714;4;0,942;;;18/03/2013;08:54
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Felix Faure (CRS 21);18;P>25728;4;1,167;;;18/03/2013;09:49
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Michelet;10;P>25718;3;0,363;;;18/03/2013;08:19
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Square Quentin de la Tour (Basilique);15;P>25721;3;0,618;;;18/03/2013;08:32
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bvd Roosevelt PORTEUR;17;P>25688;3;0,357;;;18/03/2013;08:27
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Alfred Clin (hors Heures scolaires);36;P>25682;3;0,863;;;18/03/2013;09:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,269;;;18/03/2013;08:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Peronne mairie PORTEUR;23;P>25657;3;0,63;;;18/03/2013;09:19
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue de la Fère (face n°22);51;P>25637;4;1,224;;;20/03/2013;06:37
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris (ALDI);92;P>25668;3;0,596;;;20/03/2013;08:23
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris / Rue du Gle Debeney;94;P>25670;4;0,962;;;20/03/2013;08:15
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Henriette Cabot;34;P>25681;3;0,567;;;20/03/2013;09:16
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;CORA (parking);41;P>25683;3;0,761;;;20/03/2013;09:31
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av du Gle de Gaulle;46;P>25694;4;0,499;;;20/03/2013;10:05
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av de la République (face au n° 29);165;P>25710;3;0,407;;;20/03/2013;09:50
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Parking rue Leon Lemaire;87;P>29127;4;0,449;;;25/03/2013;08:05
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd de Richelieu (angle rue des Glacis);30;P>25726;3;0,766;;;25/03/2013;09:35
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd Gambetta (face au n°1) en haut;9;P>25717;3;0,5;;;25/03/2013;10:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bvd Henri Martin;26;P>25724;3;0,325;;;25/03/2013;09:44
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place de la Liberté;8;P>25716;3;0,723;;;25/03/2013;10:14
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25722;3;0,417;;;25/03/2013;08:59
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25723;3;0,402;;;25/03/2013;09:01
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue du Petit Origny (place du marché);4;P>25714;4;0,999;;;25/03/2013;09:10
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bvd Roosevelt PORTEUR;17;P>25688;3;0,497;;;25/03/2013;08:55
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Alfred Clin (hors Heures scolaires);36;P>25682;3;0,423;;;25/03/2013;09:20
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Théophile Gautier PORTEUR;29;P>25678;4;0,533;;;25/03/2013;09:28
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,335;;;25/03/2013;08:17
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Av Léo Lagrange;48;P>25634;3;0,333;;;25/03/2013;08:30
Verre Couleur;;2691;ST QUENTIN;ST QUENTIIN SUD EST;;Rue Charles Foucault;50;P>25636;3;0,497;;;25/03/2013;08:37
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris (face au 105) Rue de Ham;22;P>25656;3;0,328;;;25/03/2013;10:08
